epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.067740,0.001278,0.977500,0.999583
2,0.018949,0.292960,0.995521,0.969167
3,0.013763,0.003514,0.996875,0.999583
4,0.009840,0.040213,0.997708,0.988333
5,0.010396,0.018480,0.997188,0.996250
6,0.006523,0.018909,0.998542,0.993750
7,0.048998,0.830104,0.994583,0.927083
8,0.021895,0.000581,0.996875,1.000000
9,0.002952,0.000431,0.999375,1.000000
10,0.016453,0.014877,0.998021,0.995833
11,0.020507,0.006683,0.995729,0.999167
12,0.008631,0.001142,0.998125,0.999583
13,0.002332,0.002107,0.999062,0.999583
14,0.015001,1.700339,0.998854,0.832917
15,0.027605,0.000150,0.994167,1.000000
16,0.005510,0.000037,0.999375,1.000000
17,0.014218,0.003594,0.997917,0.999583
18,0.004989,0.005838,0.999271,0.998750
19,0.022907,0.010627,0.996250,0.998333
20,0.009166,0.005068,0.997396,0.998750
21,0.002928,0.000003,0.999167,1.000000
22,0.005923,0.004840,0.998750,0.999583
23,0.003391,0.000431,0.999167,0.999583
24,0.001857,0.000277,0.999792,1.000000
25,0.005888,0.001656,0.998958,0.999583
26,0.001205,0.001928,0.999687,0.999167
27,0.008492,0.001242,0.997708,0.999583
28,0.006093,0.001173,0.998854,0.999583
29,0.005240,0.000187,0.999062,1.000000
30,0.040565,0.001107,0.995104,0.999583
31,0.001028,0.000152,0.999792,1.000000
